contract,gm1%,spc2014,spc2016,spc-new
NCL2014-500,19.01,291836.75,167500.00,201000.00
NCL2014-500,19.08,293268.37,167643.16,201171.79
NCL2014-500,19.15,294700.00,167786.32,201343.59
NCL2014-500,19.22,296131.62,167929.49,201515.38
NCL2014-500,19.29,297563.25,168072.65,201687.18
NCL2014-500,19.36,298994.87,168215.81,201858.97
NCL2014-500,19.43,300426.49,168358.97,202030.77
NCL2014-500,19.50,301858.12,168502.14,202202.56
NCL2014-500,19.56,303289.74,168645.30,202374.36
NCL2014-500,19.63,304721.37,168788.46,202546.15
NCL2014-500,19.70,306152.99,168931.62,202717.95
NCL2014-500,19.77,307584.61,169074.79,202889.74
NCL2014-500,19.84,309016.24,169217.95,203061.54
NCL2014-500,19.90,310447.86,169361.11,203233.33
NCL2014-500,19.97,311879.49,169504.27,203405.13
NCL2014-500,20.04,313311.11,271435.90,305365.38
NCL2014-500,20.11,314742.73,271664.96,305623.08
NCL2014-500,20.17,316174.36,271894.02,305880.77
NCL2014-500,20.24,317605.98,272123.08,306138.46
NCL2014-500,20.31,319037.61,272352.14,306396.15
NCL2014-500,20.37,320469.23,272581.20,306653.85
NCL2014-500,20.44,321900.85,272810.26,306911.54
NCL2014-500,20.51,323332.48,273039.32,307169.23
NCL2014-500,20.58,324764.10,273268.38,307426.92
NCL2014-500,20.64,326195.73,273497.44,307684.62
NCL2014-500,20.71,327627.35,273726.50,307942.31
NCL2014-500,20.77,329058.97,273955.56,308200.00
NCL2014-500,20.84,330490.60,274184.62,308457.69
NCL2014-500,20.91,331922.22,274413.68,308715.38
NCL2014-500,20.97,333353.85,274642.74,308973.08
NCL2014-500,21.04,334785.47,274871.80,309230.77
NCL2014-500,21.10,336217.09,275100.85,309488.46
NCL2014-500,21.17,337648.72,275329.91,309746.15
NCL2014-500,21.24,339080.34,275558.97,310003.85
NCL2014-500,21.30,340511.96,275788.03,310261.54
NCL2014-500,21.37,341943.59,276017.09,310519.23
NCL2014-500,21.43,343375.21,276246.15,310776.92
NCL2014-500,21.50,344806.84,276475.21,311034.62
NCL2014-500,21.56,415486.15,276704.27,311292.31
NCL2014-500,21.63,417204.10,276933.33,311550.00
NCL2014-500,21.69,418922.05,277162.39,311807.69
NCL2014-500,21.76,420640.00,277391.45,312065.38
NCL2014-500,21.82,422357.95,277620.51,312323.08
NCL2014-500,21.88,424075.90,277849.57,312580.77
NCL2014-500,21.95,425793.84,278078.63,312838.46
NCL2014-500,22.01,427511.79,278307.69,313096.15
NCL2014-500,22.08,429229.74,278536.75,313353.85
NCL2014-500,22.14,430947.69,278765.81,313611.54
NCL2014-500,22.21,432665.64,278994.87,313869.23
NCL2014-500,22.27,434383.59,279223.93,314126.92
NCL2014-500,22.33,436101.54,279452.99,314384.62
NCL2014-500,22.40,437819.49,279682.05,314642.31
NCL2014-500,22.46,439537.43,279911.11,314900.00
NCL2014-500,22.52,441255.38,280140.17,315157.69
NCL2014-500,22.59,442973.33,280369.23,315415.38
NCL2014-500,22.65,444691.28,280598.29,315673.08
NCL2014-500,22.71,446409.23,280827.35,315930.77
NCL2014-500,22.78,448127.18,281056.41,316188.46
NCL2014-500,22.84,449845.13,281285.47,316446.15
NCL2014-500,22.90,451563.08,281514.53,316703.85
NCL2014-500,22.96,453281.02,281743.59,316961.54
NCL2014-500,23.03,454998.97,281972.65,317219.23
NCL2014-500,23.09,456716.92,282201.71,317476.92
NCL2014-500,23.15,458434.87,282430.77,317734.62
NCL2014-500,23.21,460152.82,282659.83,317992.31
NCL2014-500,23.28,461870.77,282888.89,318250.00
NCL2014-500,23.34,463588.72,283117.95,318507.69
NCL2014-500,23.40,465306.67,283347.01,318765.38
NCL2014-500,23.46,467024.61,283576.07,319023.08
NCL2014-500,23.52,468742.56,283805.13,319280.77
NCL2014-500,23.59,470460.51,284034.19,319538.46
NCL2014-500,23.65,472178.46,284263.25,319796.15
NCL2014-500,23.71,473896.41,284492.31,320053.85
NCL2014-500,23.77,475614.36,284721.37,320311.54
NCL2014-500,23.83,477332.31,284950.43,320569.23
NCL2014-500,23.89,479050.26,285179.49,320826.92
NCL2014-500,23.95,480768.20,285408.55,321084.62
NCL2014-500,24.01,482486.15,285637.61,321342.31
NCL2014-500,24.08,484204.10,285866.67,321600.00
NCL2014-500,24.14,485922.05,286095.73,321857.69
NCL2014-500,24.20,487640.00,286324.79,322115.38
NCL2014-500,24.26,489357.95,286553.85,322373.08
NCL2014-500,24.32,491075.90,286782.91,322630.77
NCL2014-500,24.38,492793.84,287011.97,322888.46
NCL2014-500,24.44,494511.79,287241.03,323146.15
NCL2014-500,24.50,496229.74,287470.09,323403.85
NCL2014-500,24.56,497947.69,287699.15,323661.54
NCL2014-500,24.62,499665.64,287928.21,323919.23
NCL2014-500,24.68,501383.59,288157.27,324176.92
NCL2014-500,24.74,503101.54,288386.32,324434.62
NCL2014-500,24.80,504819.49,288615.38,324692.31
NCL2014-500,24.86,506537.43,288844.44,324950.00
NCL2014-500,24.92,508255.38,289073.50,325207.69
NCL2014-500,24.98,509973.33,289302.56,325465.38
contract,gm1%,spc2014,spc2016,spc-new
NCL2015-0134,5.06,42871.59,71452.65,142905.29
NCL2015-0134,5.15,42914.89,71524.82,143049.64
NCL2015-0134,5.25,42958.20,71596.99,143193.99
NCL2015-0134,5.34,43001.50,71669.17,143338.34
NCL2015-0134,5.44,43044.81,71741.34,143482.69
NCL2015-0134,5.53,43088.11,71813.52,143627.04
NCL2015-0134,5.63,43131.42,71885.69,143771.38
NCL2015-0134,5.72,43174.72,71957.87,143915.73
NCL2015-0134,5.82,43218.02,72030.04,144060.08
NCL2015-0134,5.91,43261.33,72102.22,144204.43
NCL2015-0134,6.01,43304.63,72174.39,144348.78
NCL2015-0134,6.10,43347.94,72246.56,144493.13
NCL2015-0134,6.19,43391.24,72318.74,144637.48
NCL2015-0134,6.29,43434.55,72390.91,144781.83
NCL2015-0134,6.38,43477.85,72463.09,144926.18
NCL2015-0134,6.47,43521.16,72535.26,145070.52
NCL2015-0134,6.57,43564.46,72607.44,145214.87
NCL2015-0134,6.66,43607.77,72679.61,145359.22
NCL2015-0134,6.75,90073.60,72751.79,145503.57
NCL2015-0134,6.84,92960.58,72823.96,145647.92
NCL2015-0134,6.94,95847.56,72896.13,145792.27
NCL2015-0134,7.03,98734.53,72968.31,145936.62
NCL2015-0134,7.12,101621.51,73040.48,146080.97
NCL2015-0134,7.21,104508.48,73112.66,146225.31
NCL2015-0134,7.30,107395.46,73184.83,146369.66
NCL2015-0134,7.39,110282.43,73257.01,146514.01
NCL2015-0134,7.49,113169.41,73329.18,146658.36
NCL2015-0134,7.58,116056.39,73401.35,146802.71
NCL2015-0134,7.67,118943.36,73473.53,146947.06
NCL2015-0134,7.76,121830.34,73545.70,147091.41
NCL2015-0134,7.85,124717.31,73617.88,147235.76
NCL2015-0134,7.94,127604.29,73690.05,147380.10
NCL2015-0134,8.03,130491.26,147524.45,221286.68
NCL2015-0134,8.12,133378.24,147668.80,221503.20
NCL2015-0134,8.21,136265.21,147813.15,221719.73
NCL2015-0134,8.30,139152.19,147957.50,221936.25
